Name,Birth Date,Death Date,Description,Actor,Author,Musician
Jack Weston,1924,1996-05-03," , american actor ",True,False,False
John Beradino,1917,1996-05-19," , american baseball player and actor ",True,False,False
Jon Pertwee,1919,1996-05-20," , british actor ",True,False,False
Paul Delph,1957,1996-05-21," , american musician and producer ",False,False,True
Lash LaRue,1917,1996-05-21," , american actor ",True,False,False
Joseph Mitchell (writer)|Joseph Mitchell,1908,1996-05-24," , american writer ",False,True,False
Enrique Álvarez Félix,1934,1996-05-24," , mexican actor ",True,False,False
Jacob Druckman,1928,1996-05-24," , american composer ",False,False,True
Bradley Nowell,1968,1996-05-25," , american musician ",False,False,True
Tamara Toumanova,1919,1996-05-29," , russian dancer and actress ",True,False,False
Timothy Leary,1920,1996-05-31," , american writer and social activist ",False,True,False
Leon Garfield,1921,1996-06-02," , english author ",False,True,False
John Alton,1901,1996-06-02," , american cinematographer ",True,False,False
Pilar Lorengar,1928,1996-06-02," , spanish soprano ",False,False,True
Peter Glenville,1913,1996-06-03," , english film director ",True,False,False
Vito Scotti,1918,1996-06-05," , american character actor ",True,False,False
Salme Reek,1907,1996-06-09," , estonian actress ",True,False,False
Jo Van Fleet,1914,1996-06-10," , american actress ",True,False,False
Brigitte Helm,1908,1996-06-11," , german actress ",True,False,False
Ella Fitzgerald,1917,1996-06-15," , american singer ",False,False,True
Hillevi Rombin,1933,1996-06-19," , swedish actress and beauty queen ",True,False,False
Vivian Ellis,1903,1996-06-19," , english composer ",False,False,True
Albert R. Broccoli,1909,1996-06-27," , american film producer ",True,False,False
Margaux Hemingway,1954,1996-07-01," , american fashion model and actress ",True,False,False
Raaj Kumar,1926,1996-07-03," , indian film actor ",True,False,False
Eno Raud,1928,1996-07-09," , estonian writer ",False,True,False
Jonathan Melvoin,1961,1996-07-12," , american musician ",False,False,True
Pandro S. Berman,1905,1996-07-13," , american film producer ",True,False,False
Dana Hill,1964,1996-07-15," , american actress ",True,False,False
John Panozzo,1948,1996-07-16," , american drummer ",False,False,True
Marcel Dadi,1951,1996-07-17," , french guitarist ",False,False,True
David Hogan (composer)|David Hogan,1949,1996-07-17," , american composer ",False,False,True
David Hogan,1949,1996-07-17,", american composer",False,False,True
Marcel Dadi,1951,1996-07-17,", french guitarist",False,False,True
Marcel Dadi,1951,1996-07-17," , french guitarist ",False,False,True
Marcel Dadi,1951,1996-07-17,", french guitarist",False,False,True
Herb Edelman,1933,1996-07-21," , american actor ",True,False,False
Jessica Mitford,1917,1996-07-22," , american author, journalist and political campaigner ",False,True,False
Jean Muir (actress)|Jean Muir,1911,1996-07-23," , american actress ",True,False,False
Aliki Vougiouklaki,1933,1996-07-23," , greek actress ",True,False,False
Howard Vernon|Howard Vernom,1914,1996-07-25," , swiss actor ",True,False,False
Arihiro Hase,1965,1996-07-30," , japanese actor and voice actor ",True,False,False
Claudette Colbert,1903,1996-07-30," , american actress ",True,False,False
David Tudor,1926,1996-08-13," , american pianist and composer ",False,False,True
Camilla Horn,1903,1996-08-14," , german actress ",True,False,False
Geoffrey Dearmer,1893,1996-08-18," , british poet ",False,True,False
Rio Reiser,1950,1996-08-20," , german musician and singer ",False,False,True
Greg Morris,1933,1996-08-27," , american actor ",True,False,False
Christine Pascal,1953,1996-08-30," , french actress, director and screenwriter ",True,True,False
Vagn Holmboe,1909,1996-09-01," , danish composer ",False,False,True
Bibi Besch,1940,1996-09-07," , american actress ",True,False,False
Eyre de Lanux,1894,1996-09-08," , american artist, writer and art deco designer ",False,True,False
Bill Monroe,1911,1996-09-09," , american musician ",False,False,True
Joanne Dru,1922,1996-09-10," , american actress ",True,False,False
Tupac Shakur,1971,1996-09-13," , american rapper ",False,False,True
Juliet Prowse,1936,1996-09-14," , american dancer and actress ",True,False,False
Helen Cohan,1910,1996-09-14," , american dancer and actress ",True,False,False
Gene Nelson,1920,1996-09-16," , american dancer and actor ",True,False,False
Annabella (actress)|Annabella,1907,1996-09-18," , french actress ",True,False,False
Henri Nouwen,1932,1996-09-21," , dutch priest and author ",False,True,False
Dorothy Lamour,1914,1996-09-22," , american actress ",True,False,False
Fujiko Fujio,1933,1996-09-23," , japanese cartoonist ",False,True,False
Ted Bessell,1935,1996-10-06," , american actor ",True,False,False
Mignon G. Eberhart,1899,1996-10-08," , american author ",False,True,False
Renato Russo,1960,1996-10-11," , brazilian singer ",False,False,True
Beryl Reid,1919,1996-10-13," , british actress ",True,False,False
Laura La Plante,1904,1996-10-14," , american actress ",True,False,False
Jason Bernard,1938,1996-10-16," , american actor ",True,False,False
Morey Amsterdam,1908,1996-10-28," , american actor and comedian ",True,False,False
Marcel Carné,1909,1996-10-31," , french film director ",True,False,False
Eddie Harris,1934,1996-11-05," , american jazz musician ",False,False,True
Yafeu Fula,1977,1996-11-10," , american hip hop rapper ",False,False,True
Imam Alimsultanov,1957,1996-11-10," , chechen bard ",False,False,True
Zinovy Gerdt,1916,1996-11-18," , russian actor ",True,False,False
María Casares,1922,1996-11-22," , french-spanish actress ",True,False,False
Mark Lenard,1924,1996-11-22," , american actor ",True,False,False
Tiny Tim (musician)|Tiny Tim,1932,1996-11-30," , american musician ",False,False,True
Howard Rollins,1950,1996-12-08," , american actor ",True,False,False
James Basil Wilkie Roberton,1896,1996-12-09," , new zealand soldier, doctor, historian and writer ",False,True,False
Diana Morgan (screenwriter)|Diana Morgan,1908,1996-12-09," , british playwright and screenwriter ",False,True,False
Faron Young,1932,1996-12-10," , american singer ",False,False,True
John Duffey,1934,1996-12-10," , american bluegrass musician ",False,False,True
Willie Rushton,1937,1996-12-11," , english comedian, actor and cartoonist ",True,True,False
Edward Blishen,1920,1996-12-13," , english author ",False,True,False
Clarence Wijewardena,1943,1996-12-13," , sri lankan musician ",False,False,True
Laurens van der Post,1906,1996-12-16," , south african author ",False,True,False
Irving Caesar,1895,1996-12-18," , american lyricist ",False,False,True
Marcello Mastroianni,1924,1996-12-19," , italian actor ",True,False,False
Margret Rey,1906,1996-12-21," , american author and illustrator ",False,True,False
Mireille Hartuch,1906,1996-12-29," , french singer ",False,False,True
Lew Ayres,1908,1996-12-30," , american actor ",True,False,False
Jack Nance,1943,1996-12-30," , american actor ",True,False,False
Townes Van Zandt,1944,1997-01-01," , american folk singer ",False,False,True
Burton Lane,1912,1997-01-05," , american composer and lyricist ",False,False,True
Catherine Scorsese,1912,1997-01-06," , italian-american actress ",True,False,False
Jesse White (actor)|Jesse White,1917,1997-01-09," , american actor ",True,False,False
Sheldon Leonard,1907,1997-01-10," , american producer, actor, director ",True,False,False
Jill Summers,1910,1997-01-12," , english actress ",True,False,False
James Dickey,1923,1997-01-19," , american poet and novelist ",False,True,False
Adriana Caselotti,1916,1997-01-19," , american actress ",True,False,False
Billy Mackenzie,1957,1997-01-22," , scottish singer ",False,False,True
Richard Berry (musician)|Richard Berry,1935,1997-01-23," , american singer and composer ",False,False,True
Johnny Klein,1918,1997-01-31," , american drummer ",False,False,True
Marjorie Reynolds,1917,1997-02-01," , american actress ",True,False,False
Chico Science,1966,1997-02-02," , brazilian musician ",False,False,True
Brian Connolly,1945,1997-02-09," , scottish musician ",False,False,True
Barry Evans (actor)|Barry Evans,1943,1997-02-09," , english actor ",True,False,False
Don Porter,1912,1997-02-11," , american actor ",True,False,False
James Cossins,1933,1997-02-12," , english actor ",True,False,False
Ethel Owen,1893,1997-02-16," , american actress ",True,False,False
Tony Williams (drummer)|Tony Williams,1945,1997-02-23," , american musician ",False,False,True
Isabelle Lucas,1927,1997-02-24," , canadian-born british actress ",True,False,False
Arthur Hewlett,1907,1997-02-25," , english actor ",True,False,False
David Doyle (actor)|David Doyle,1929,1997-02-26," , american actor ",True,False,False
Carey Loftin,1914,1997-03-04," , american actor and stuntman ",True,False,False
Ursula Torday,1912,1997-03-06," , british writer ",False,True,False
Terry Nation,1930,1997-03-09," , welsh screenwriter ",False,True,False
The Notorious B.I.G.,1972,1997-03-09," , american rapper ",False,False,True
LaVern Baker,1929,1997-03-10," , american singer ",False,False,True
Gail Davis,1925,1997-03-15," , american actress ",True,False,False
Jermaine Stewart,1957,1997-03-17," , american singer ",False,False,True
Wilbert Awdry,1911,1997-03-21," , british children's writer ",False,True,False
Ignazio Buttitta,1899,1997-04-05," , sicilian dialectal poet ",False,True,False
Allen Ginsberg,1926,1997-04-05," , american poet ",False,True,False
Laura Nyro,1947,1997-04-08," , american singer and composer ",False,False,True
Michael Dorris,1945,1997-04-10," , american author ",False,True,False
Rodolfo Oroz,1895,1997-04-13," , chilean writer, professor, and philologist ",False,True,False
Dorothy Frooks,1896,1997-04-13," , american author, military figure and actress. ",True,True,False
Don Bexley,1910,1997-04-15," , american actor and comedian ",True,False,False
Eldon Hoke,1958,1997-04-19," , american singer and drummer ",False,False,True
John Beal (actor)|John Beal,1909,1997-04-26," , american actor ",True,False,False
Bo Widerberg,1930,1997-05-01," , swedish film director ",True,False,False
