,asin,reviewText,summary,ReviewTime,actor name,death date,title,categories
308659,0792840461,The Original and the best-not much to say read the suppliers review and you won't be disappointed.,The orginal,2006-04-07,Jack Weston,1996-05-03,The Thomas Crown Affair,"Movies & TV, Movies"
308660,0792840461,This was a great movie Steve McQueen invented cool and this movie shows him at his best exciting movie with out those crapy special effects..  Great movie,Steve McQueen invented cool,2013-03-24,Jack Weston,1996-05-03,The Thomas Crown Affair,"Movies & TV, Movies"
308661,0792840461,"Everybody knows banks, whether in storefronts, in supermarket lobbies, or in marbled edifices, is where the money is. A lot of people also know of the old yegg, Willie Sutton and his famous, or infamous, remark when asked why he robbed banks and noted sardonically that was where the money was. The question posed by the film under review, The Thomas Crown Affair, is why was a guy who has plenty of money (some four million dollars, yes, pocket change today, hardly walking around money, but a substantial amount in 1967) winding up as the prime suspect in a major Boston bank robbery. Strangely enough Thomas Crown&#8217;s answer is very much like Brother Sutton&#8217;s-that is where the dough is.Here is the skinny. Wealthy Boston socialite, divorced socialite and that is important since he is a little skirt-crazy, Thomas Crown (played by the blue-eyed devil Steve McQueen) is bored/intrigued/into risk-taking on a big scale who plans capers, you know, bank heists, basically for the sake of doing them. And mainly he gets away with them because he hires guys who don&#8217;t know each other or him on a contract basis and so he is somewhat immune to being ratted on by snitches and guys turning over on him when the heat is on. This is the M.O. (modus operandi, okay) that gets him big dough in a downtown Boston heist as the film opens. And finding out who and what this non-criminal criminal is drives the action in this film.Naturally the Boston cops are clueless about how to handle such a case where it appears that the job was done seamlessly, there was no word on the street about the dough, the multitude of witnesses, bank employees and clients had a multitude of stories and they have to go outside the doughnut shop where they usually hang out. Enter one drop-dead female insurance investigator (played by Faye Dunaway) who has a serious reputation of getting the hard bank heists cases solved for a serious cut of the recovery money. So Faye goes to work, gets very close, too close in the end, to this wizard socialite Crown who has a serious case of getting his kicks by high risk actions. Oh yeah, but wait a minute we have Steve McQueen and Faye Dunaway in this one, two iconic beautiful people from the 1960s so you know that, well, sex has to show up or this might as well have been a film noir, or something. So sure they ruffle up some sheets, make that plenty of sheets, and Faye gets a little religion about Steve. Or maybe she was just like a lot of people wondering why a guy with dough was robbing for dough like she had never heard of Brother Willie Hutton.[Note: This film was re-made in the 1990s with Pierce Brosnan in the title role. One big different between the two was the speed of the action in the latter film was much faster than the laconic unfolding of the scenes in this film. Even I found this earlier film rather too slow which may reflect the change-up in the demand for more action per minute in action films these latter days.]",Where The Dough Is,2014-04-05,Jack Weston,1996-05-03,The Thomas Crown Affair,"Movies & TV, Movies"
308662,0792840461,"an all-time great movie and one of my favorites.McQueen at his best.Excellent film work,acting et al.the problem with this item is the item itself.dvd comes in a &#34;slim&#34; case (not a standard dvd case)and plays like an illegal bootleg and not the licensced copy that I paid for.this was shipped amazonprime but is not an amazon product.I would avoid that merchant by all means! The picture quality is good only and the audio quality is so poor that even at max volume on my television, I could hardly hear the dialogue.one of the few total disappointments I have encountered with amazon.","great movie,but PLEASE avoid this copy.",2012-12-21,Jack Weston,1996-05-03,The Thomas Crown Affair,"Movies & TV, Movies"
308663,0792840461,"Fans of a rough and tough McQueen know that the Thomas Crown Affair is his venture into playing a character totally opposite of what is expected. Great cars, interesting plot, and a beautiful Faye Dunaway lend this original the high ratings it deserves.",It's McQueen,2013-05-12,Jack Weston,1996-05-03,The Thomas Crown Affair,"Movies & TV, Movies"
308664,0792840461,"they had a scene where they played chess for 10 min!remake was much better, go watch the remake, meow",so drawn out and boring,2013-08-05,Jack Weston,1996-05-03,The Thomas Crown Affair,"Movies & TV, Movies"
308665,0792840461,It arrived quickly sealed in the original packaging material.  Works great and now we have another 'classic' added to our library.,Just wanted it for out library,2013-09-18,Jack Weston,1996-05-03,The Thomas Crown Affair,"Movies & TV, Movies"
308666,0792840461,"This movie has impacted my life in a big way.  What a great crime caper and its easily replicated, just don't hire the weak link station wagon driver.  Check the news to see if it worked.",Great Film,2013-06-20,Jack Weston,1996-05-03,The Thomas Crown Affair,"Movies & TV, Movies"
308667,0792840461,McQueen is highlighted by a wonderful performance by Fay Dunaway as his semi-nemesis.Exceptional portrayal of the lofty Mr. Crown by actor Steve McQueen not imagined comfortable playing high society.,"Thomas Crown Affair- IS ""One to Remember"" !",2014-01-03,Jack Weston,1996-05-03,The Thomas Crown Affair,"Movies & TV, Movies"
308668,0792840461,"I must admit I wasn't expecting much from this movie. But, once again Steve leaves you stunned. He slips in and out of the picture before you know he's there. Faye Dunaway does a great job as the dective out to catch the thief. The movie opens with a classic bank robbery. From there on the plot thickens. No matter what Dunaway tries, steve maneges to outrank her. And, the cat and mouse game continues. But, will steve get away with his little scheme, or will Faye convince him to turn himself in. I wont tell you the ending, but I can say that it will leave you satisfied. Its no wonder they got P.B. to do the remake. This film definitly deserves a second run. The Thomas Crown affair is fun, and slick entertainment. That is if you can understand what they're saying. But, never the less, you shouldn't miss this one.",A slick flick that gets better and better,2006-07-14,Jack Weston,1996-05-03,The Thomas Crown Affair,"Movies & TV, Movies"
308669,0792840461,"I like the original ""Thopmas Crown Affair"" over the remake - Both films are entertaining, but the original is believable.",The Thoimas Crown Affair,2010-03-30,Jack Weston,1996-05-03,The Thomas Crown Affair,"Movies & TV, Movies"
308670,0792840461,"The man and consumate actor.  I loved the technicolor, the plot.  Just a wonderfully crafted movie.  Steve McQueen and Faye 'A' actors.",McQeen,2014-01-20,Jack Weston,1996-05-03,The Thomas Crown Affair,"Movies & TV, Movies"
